"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"130209","occ","","","10755","Chaoyangsaurus youngi","species","55580","Late Kimmeridgian","Valanginian","152.2","132.6","13360","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Chaoyangsauridae","Chaoyangsaurus","123.966698","42.933300","CN","Liaoning","Chaoyang","stated in text","4","small collection","Chaoyang area of Liaoning Province, NE China"
"130294","occ","","","10764","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","125.77","119.5","4006","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Protarchaeopteryx","120.733330","41.799999","CN","Liaoning","","based on political unit","seconds","local area","Sihetun area near Beipiao city"
"130295","occ","","","10764","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","125.77","119.5","19421","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Caudipteryx","120.733330","41.799999","CN","Liaoning","","based on political unit","seconds","local area","Sihetun area near Beipiao city"
"139242","occ","24752","","11890","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.1","13165","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","-111.528732","50.740726","CA","Alberta","","estimated from map","6","local area","near Steveville, Alberta (now Dinosaur Provincial Park); Sand Creek; NW 1/4, sec 31, T20, R11, LSD 4.  Coordinates estimated from map in Sternberg 1950."
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.1","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","-111.549347","50.737015","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 36, T20, R12, W 4th meridian."
"139251","occ","","","11894","Centrosaurus apertus","species","63911","Late Campanian","","83.6","72.1","16964","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","-111.528931","50.737297","CA","Alberta","","stated in text","6","small collection",""
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.1","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","-111.564636","50.723866","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 26, T20, R12, LSD 4"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.1","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","-111.525337","50.740471","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); R bank Sand Creek, 75 ft above river, 12 mi below Steveville; NW 1/4, sec 31, T20, R11, W 4th meridian"
"139254","occ","13634","","11897","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.1","17547","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","-111.601021","50.786999","CA","Alberta","","stated in text","3","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); 3.5 miles below mouth of Berry Creek, on S side of river, Red Deer River, Alberta; NE 1/4 sec 16, T21, R12, LSD 4; ""near the prairie level"""
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","Late Maastrichtian","","72.1","66","9259","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","-112.981903","51.804600","CA","Alberta","","stated in text","4","small collection","unknown section, township 33, range 22, W 4th meridian; east bank of Red Deer River, about 21 mi above mouth of Kneehills Creek (= Knee Hills Creek) between Morrin and Tolman bridges"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.1","66","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","-112.981903","51.819099","CA","Alberta","","stated in text","4","outcrop","section 12?, township 33, range 22, W 4th meridian; 150 feet above east bank of Red Deer River, 2 miles below Tolman Ferry"
"139257","occ","","","11900","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.1","66","12347","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","-112.818901","51.542702","CA","Alberta","","stated in text","4","small collection","section 27 or 34, township 30, range 21, W 4th meridian; 100 feet above west bank of Red Deer River; 2.5 miles above Bleriot ferry (possibly from Kneehills Creek)"
"139258","occ","18014","","11901","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.1","66","9259","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","-112.842300","51.469898","CA","Alberta","","stated in text","4","small collection","section 11?, township 29, range 21, W. 4th meridian; approximately 100 feet above Red Deer River about 2 mi upstream from mouth of Kneehills Creek (tributary of Red Deer River). Possibly from Kirkpatrick Coulee, near the Dunphy cemetery"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.1","66","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","-112.702202","51.440800","CA","Alberta","","stated in text","4","local area","section 35?, township 28, range 20, W. 4th meridian; west bank of Red Deer River near Drumheller"
"139260","occ","23238","","11604","Isisaurus colberti","species","64311","Maastrichtian","","72.1","66","4177","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Isisaurus","80.366669","21.183332","IN","Maharashtra","Chandrapur","based on nearby landmark","minutes","outcrop","16 km south-east from Pisdura, Wardha Valley, Chadrapur district, Maharashtra state, India. In the Nand-Dongargaon Basin"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","Late Campanian","","83.6","72.1","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Daspletosaurus","-110.681999","49.083698","CA","Alberta","","stated in text","4","small collection","near center of NW 1/4 of section 36, township 1, range 6, W. 4th meridian; about 30 feet below prairie rim; near Manyberries, Alberta"
"139290","occ","23303","","11915","Daspletosaurus torosus","species","57258","Middle Campanian","","83.6","72.1","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Daspletosaurus","-111.485008","50.751526","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); E 1/2, sec 5, T21, R11, LSD 4"
"139291","occ","38040","","11916","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.1","66","76179","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","-112.934799","51.928299","CA","Alberta","","stated in text","4","small collection","SW 1/8 of section 20, township 34, range 21, W. 4th meridian; 150 feet above south bank of Red Deer River; near Scollard, AB, upriver from Tolman Bridge."
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","Late Maastrichtian","","72.1","66","4218","Chordata","Reptilia","Theropoda","Tyrannosauridae","Tyrannosaurus","-113.028900","51.906399","CA","Alberta","","stated in text","4","small collection","center of section 10, township 34, range 22, W. 4th meridian; about 10 feet above Kneehills Tuff; 7 miles east of Huxley, AB"
"139306","occ","","","11923","Amygdalodon patagonicus","species","66447","Pliensbachian","Early Toarcian","192.9","182.9","4208","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Amygdalodon","-69.516670","-43.966667","AR","Chubut","","based on nearby landmark","seconds","small collection","On the E slope of the Sierra Pampa de Agnía, SE of the Cerro Camerón and ca. 8 km WSW of the García Prieto ranch (formerly Gallina ranch) at the source of a tributary of Cañadón Puelman. This ranch is accessible by a trail that is part of La Herrería located on National Route 25, 400 km from Rawson. Coordinates are for the Sierra Pampa de Agnía. SW of Cerro Carnerero, Sierra de Cerro Negro. Listed as Cañadón Puelman, SW from Cerro Carnerero in refs 45986 and 82948.."
"139307","occ","34164","","11924","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","154.8","145","63746","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","-108.699989","39.068802","US","Colorado","Mesa","stated in text","4","small collection","In Redlands SW of Fruita, CO; near base of Serpent's Trail, near E entrance to Colorado NM. Now on private land, S side of No Thoroughfare Canyon, sec 29, T11S, R101W."
"139308","occ","","","11925","Camarasaurus supremus","species","54168","Kimmeridgian","","154.8","149.2","4209","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","-108.717499","39.111668","US","Colorado","Mesa","based on nearby landmark","seconds","small collection","2 mi S of Fruita, CO; 100 feet above Riggs Quarry 12; N of mouth of Wedding Canyon"
"139340","occ","","","11931","Ankylosaurus magniventris","species","52793","Late Maastrichtian","","72.1","66","4210","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Ankylosaurus","-106.569901","47.637699","US","Montana","Garfield","stated in text","4","small collection","upper end of Gilbert Creek, 120 miles north of Miles City, MT. ""probably"" section 27 or 28, T22N, R40E, Garfield Co. Coordinates for sec. 27."
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","Late Campanian","","83.6","72.1","32137","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Bistahieversor","-107.966393","36.060280","US","New Mexico","San Juan","based on nearby landmark","seconds","local area","northeast of Chaco Canyon, presumably on Ah-Shi-Sle-Pah Wash (imprecise)."
"147092","occ","","","12977","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","4306","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Pachycephalosaurus","-106.227776","47.695831","US","Montana","McCone","stated in text","seconds","outcrop","Bug Creek 7 1/2 minute Quadrangle, NE 1/4 of section 5, Township 22N, Range 43E, approx. one mile east of Fort Peck Reservoir and 1.5 miles northwest of the Bug Creek Anthills locality. The lat long is for the Fort Peck Reservoir."
"148500","occ","13664","","13105","Sonorasaurus thompsoni","species","68170","Late Albian","Early Cenomanian","106.2","93.9","14864","Chordata","Saurischia","NO_ORDER_SPECIFIED","Brachiosauridae","Sonorasaurus","-110.418053","31.811390","US","Arizona","Cochise","based on nearby landmark","seconds","outcrop","southwest foothills of Whetstone Mountains, SE Arizona"
"148628","occ","","","13108","Mononykus olecranus","species","67287","Maastrichtian","","72.1","66","4373","Chordata","Reptilia","Theropoda","Alvarezsauridae","Mononykus","99.599998","43.540001","MN","Omnogov","","estimated from map","2","small collection","Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia"
"148629","occ","","","13108","Tarbosaurus bataar","species","63705","Maastrichtian","","72.1","66","4373","Chordata","Reptilia","Theropoda","Tyrannosauridae","Tarbosaurus","99.599998","43.540001","MN","Omnogov","","estimated from map","2","small collection","Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia"
"149592","occ","","","13212","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","145","7813","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Allosaurus","-106.041000","41.893101","US","Wyoming","Albany","stated in text","4","small collection","SW 1/4 of SW 1/4 of sec. 10, T22N, R77W, Como Bluff, Albany Co., WY"
"149596","occ","","","13214","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","145","4387","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Allosaurus","-106.389999","42.035831","US","Wyoming","Converse","based on nearby landmark","seconds","outcrop","unspecified locality in the Freeze Out Mountains, Converse Co."
"149597","occ","","","13214","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","145","4387","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Allosaurus","-106.389999","42.035831","US","Wyoming","Converse","based on nearby landmark","seconds","outcrop","unspecified locality in the Freeze Out Mountains, Converse Co."
"149600","occ","","","13214","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","154.8","145","52556","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","-106.389999","42.035831","US","Wyoming","Converse","based on nearby landmark","seconds","outcrop","unspecified locality in the Freeze Out Mountains, Converse Co."
"149601","occ","","","13214","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","145","4387","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Allosaurus","-106.389999","42.035831","US","Wyoming","Converse","based on nearby landmark","seconds","outcrop","unspecified locality in the Freeze Out Mountains, Converse Co."
"149981","occ","","","13279","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.5","184.2","4405","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","-111.027779","35.679169","US","Arizona","Coconino","based on nearby landmark","seconds","outcrop","80 km NE of Flagstaff, AZ, at West Moenkopi Plateau on the Ward Terrace. Within the Navajo Indian Reservation, about 10 km SW of Sand Springs, AZ. Locality is about 0.5 km SE of Rock Head (topographic feature)."
"149982","occ","","","13280","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.5","184.2","4405","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","-111.073608","35.736668","US","Arizona","","based on nearby landmark","seconds","","along Gold Spring Wash, about 16 km NW of MNA 219; on Ward Terrace along the Adeii Eechii Cliffs."
