"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon","taxon_size","extant_size","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","image_no"
"52775","91968","txn","B","unranked clade","Dinosauria","","52775","unranked clade","Dinosauria","53207","","14071","extant","7649","Chordata","Reptilia","","","","","10813","3542","247.2","242","0.0117","0","Anisian","Holocene","terrestrial","","actively mobile","","","","","","","2207"
"38712","91973","txn","","unranked clade","Ornithischia","","38712","unranked clade","Ornithischia","52775","","9798","extinct","2768","Chordata","Ornithischia","","","","","1204","0","237","227","72.1","61.6","Carnian","Danian","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1014"
"52776","52776","txn","","unranked clade","Genasauria","","52776","unranked clade","Genasauria","38712","","7357","extinct","2640","Chordata","Ornithischia","","","","","1092","0","233.4","216.7","72.1","61.6","Carnian","Danian","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1694"
"52800","52800","txn","","unranked clade","Cerapoda","","52800","unranked clade","Cerapoda","52776","","7357","extinct","2014","Chordata","Ornithischia","","","","","825","0","233.4","216.7","72.1","61.6","Carnian","Danian","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1694"
"52814","52814","txn","","unranked clade","Marginocephalia","","52814","unranked clade","Marginocephalia","52800","","7357","extinct","814","Chordata","Ornithischia","","","","","269","0","168.2","154.8","72.1","66","Bathonian","Maastrichtian","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1694"
"38842","147916","txn","","unranked clade","Ceratopsia","","38842","unranked clade","Ceratopsia","52814","","7806","extinct","652","Chordata","Ornithischia","","","","","217","0","161.5","154.8","72.1","66","Oxfordian","Maastrichtian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","569"
"52774","52774","txn","","infraorder","Neoceratopsia","","52774","infraorder","Neoceratopsia","38842","","7357","extinct","170","Chordata","Ornithischia","NO_ORDER_SPECIFIED","","","","79","0","161.5","154.8","72.1","66","Oxfordian","Maastrichtian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","2179"
"52819","52819","txn","","unranked clade","Coronosauria","","52819","unranked clade","Coronosauria","52774","","7357","extinct","80","Chordata","Ornithischia","","","","","18","0","100.5","93.9","72.1","66","Cenomanian","Maastrichtian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","956"
"52820","52820","txn","","superfamily","Ceratopsoidea","","52820","superfamily","Ceratopsoidea","52819","","15348","extinct","20","Chordata","Ornithischia","NO_ORDER_SPECIFIED","","","Ceratops","7","0","93.9","89.8","86.3","83.6","Turonian","Santonian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"NF1","","txn","","family","","","","","","","52820","","","20","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","","","","","","","","","","","","","","","","","","","","",""
"167126","167126","txn","","genus","Ajkaceratops","","167126","genus","Ajkaceratops","52820","NF1","32660","extinct","2","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ajkaceratops","","2","0","86.3","83.6","86.3","83.6","Santonian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"167127","167127","txn","","species","Ajkaceratops kozmai","","167127","species","Ajkaceratops kozmai","167126","","32660","extinct","1","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ajkaceratops","","1","0","86.3","83.6","86.3","83.6","Santonian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"67677","67677","txn","","genus","Turanoceratops","","67677","genus","Turanoceratops","52820","NF1","14447","extinct","12","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Turanoceratops","","2","0","93.9","89.8","93.9","89.8","Turonian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"67678","67678","txn","","species","Turanoceratops tardabilis","","67678","species","Turanoceratops tardabilis","67677","","14447","extinct","6","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Turanoceratops","","1","0","93.9","89.8","93.9","89.8","Turonian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"66590","66590","txn","","genus","Zuniceratops","","66590","genus","Zuniceratops","52820","NF1","13881","extinct","6","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Zuniceratops","","2","0","93.9","89.8","93.9","89.8","Turonian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"66591","66591","txn","","species","Zuniceratops christopheri","","66591","species","Zuniceratops christopheri","66590","","13881","extinct","3","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Zuniceratops","","1","0","93.9","89.8","93.9","89.8","Turonian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","955"
"38845","38845","txn","","family","Protoceratopsidae","","38845","family","Protoceratopsidae","52819","","14566","extinct","60","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","","Protoceratops","9","0","100.5","93.9","72.1","66","Cenomanian","Maastrichtian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","956"
"38846","38846","txn","","genus","Bagaceratops","","38846","genus","Bagaceratops","38845","","6048","extinct","16","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Bagaceratops","Bagaceratops rozhdestvenskyi","2","0","83.6","72.1","72.1","66","Campanian","Maastrichtian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","956"
"52826","52826","txn","","species","Bagaceratops rozhdestvenskyi","","52826","species","Bagaceratops rozhdestvenskyi","38846","","6048","extinct","8","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Bagaceratops","","1","0","83.6","72.1","83.6","72.1","Campanian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","956"
"58853","58853","txn","","genus","Breviceratops","","58853","genus","Breviceratops","38845","","86270","extinct","2","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Breviceratops","Breviceratops kozlowskii","2","0","83.6","72.1","83.6","72.1","Campanian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","956"
"58854","58855","txn","","species","Breviceratops kozlowskii","","58854","species","Breviceratops kozlowskii","58853","","6048","extinct","1","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Breviceratops","","1","0","83.6","72.1","83.6","72.1","Campanian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","956"
"38848","38848","txn","","genus","Protoceratops","","38848","genus","Protoceratops","38845","","14566","extinct","42","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Protoceratops","","3","0","86.3","72.1","83.6","72.1","Santonian","Campanian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1935"
"52824","52824","txn","","species","Protoceratops andrewsi","","52824","species","Protoceratops andrewsi","38848","","14566","extinct","15","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Protoceratops","","1","0","86.3","72.1","83.6","72.1","Santonian","Campanian","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1935"
"57342","57342","txn","","species","Protoceratops hellenikorhinus","","57342","species","Protoceratops hellenikorhinus","38848","","10057","extinct","6","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Protoceratops","","1","0","83.6","72.1","83.6","72.1","Campanian","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","1935"
