Name,Location,Latitude,Longitude
Aguja Formation,"['Mexico', 'USA']",29.3,-103.5
Allen Formation,['Argentina'],-40,-66.6
Bajo de la Carpa Formation,['Argentina'],-38.8,-68.8
Barun Goyot Formation,['Mongolia'],43.5,99.8
Bayan Mandahu Formation,['China'],41.75,106.75
Bayan Shireh Formation,['Mongolia'],44.3,109.2
Bissekty Formation,['Uzbekistan'],42.1,62.7
Cedar Mountain Formation,['USA'],39.25,-110.824
Cerro Barcino Formation,['Argentina'],-43.8,-68.6
Dinosaur Park Formation,['Canada'],49.2,-110.4
Djadochta Formation,"['China', 'Mongolia']",44.128611,103.727778
Elliot Formation,"['Lesotho', 'South Africa']",-30.5,27.4
Ferris Formation,['USA'],41.8,-106.6
Frenchman Formation,['Canada'],49.49073,-108.90467
Hell Creek Formation,['USA'],46.9,-101.5
Horseshoe Canyon Formation,['Canada'],51.423333,-112.888333
Huincul Formation,['Argentina'],-39.4,-69
Iren Dabasu Formation,['China'],43.8,112.4
Jiufotang Formation,['China'],41.2,119.4
Judith River Formation,['USA'],47.666,-109.6499
Kaiparowits Formation,['USA'],37.4,-111.6833
Kirtland Formation,['USA'],36.708,-108.35
Lameta Formation,['India'],23.2,80
Lance Formation,['USA'],43.045,-104.6566
Laramie Formation,['USA'],39.751,-105.2256
Lourinha Formation,['Portugal'],39.23,-9.32
Lufeng Formation,['China'],25,102.1
Morrison Formation,['USA'],39.651,-105.188
Nanxiong Formation,['China'],23.5,114.9
Nemegt Formation,['Mongolia'],43.5,101
Oldman Formation,['Canada'],49.628,-112.8897
Rio Colorado Formation,['Argentina'],-37.9,-68.5
Scollard Formation,['Canada'],51.938611,-112.926944
Shaximiao Formation,['China'],29.2,105.9
Shishugou Formation,['China'],44.5,90.2
Tendaguru Formation,['Tanzania'],-9.7,39.2
Tremp Formation,['Spain'],42.109722,1.072778
Trossingen Formation,['Germany'],48.8,9.2
Two Medicine Formation,['USA'],48.074167,-112.299444
Wangshi Group,['China'],36.9,120.7
Wapiti Formation,['Canada'],55.1,-118.3
Wessex Formation,['UK'],,
Yixian Formation,['China'],41.533,121.2383
Xiagou Formation,['China'],39.9,96.8
Adamantina Formation,['Brazil'],,
Allaru Formation,['Australia'],,
Alcobaça Formation,['Portugal'],,
Anacleto Formation,['Argentina'],,
Antlers Formation,['USA'],,
Arcillas de Morella Formation,['Spain'],,
Arén Formation,['Spain'],,
Arundel Clay,['USA'],,
Baharija Formation,['Egypt'],,
Bajo Barreal Formation,['Argentina'],,
Bauxite of Cornet,['Romania'],,
Camadas de Guimarota,['Portugal'],,
Cañadón Asfalto Formation,['Argentina'],,
Candeleros Formation,['Argentina'],,
Castellar Formation,['Spain'],,
Cerro del Pueblo Formation,['Mexico'],,
Chipping Norton Formation,['UK'],,
Clarens Formation,['South Africa'],,
Cloverly Formation,['USA'],,
Csehbanya Formation,['Hungary'],,
Denver Formation,['USA'],,
Elrhaz Formation,['Niger'],,
Foremost Formation,['Canada'],,
Forest Marble Formation,['UK'],,
Great Oolite Group,['UK'],,
Gosau Group,['Germany'],,
Grünbach Formation,['Austria'],,
Griman Creek Formation,['Australia'],,
Grès à Reptiles,['France'],,
Haoling Formation,['China'],,
Hornerstown Formation,['USA'],,
Ischigualasto Formation,['Argentina'],,
Javelina Formation,['USA'],,
Khok Kruat Formation,['Thailand'],,
Kitadani Formation,['Japan'],,
La Huérguina Formation,['Spain'],,
Lecho Formation,['Argentina'],,
Lianmuqin Formation,['China'],,
Maevarano Formation,['Madagascar'],,
Marilia Formation,['Brazil'],,
Mata Amarilla Formation,['Argentina'],,
Milk River Formation,['Canada'],,
Minhe Formation,['China'],,
Portezuelo Formation,['Argentina'],,
Prince Creek Formation,['USA'],,
Rio Neuquen Formation,['Argentina'],,
Sânpetru Formation,['Romania'],,
Sao Khua Formation,['Thailand'],,
Tunbridge Wells Sand Formation,['England'],,
Villar del Arzobispo Formation,['Spain'],,
Xinlong Formation,['China'],,
Alagteeg Formation,['Mongolia'],,
Alcântara Formation,['Brazil'],,
Ampthill Clay,['UK'],,
Angostura Colorada Formation,['Argentina'],,
Bayin-Gobi Formation,['China'],,
Bungil Formation,['Australia'],,
Bushveld Sandstone,['South Africa'],,
Calcaire à Spatangues,['France'],,
Calcaire de Caen,['France'],,
Cerro del Pueblo Formation,['Mexico'],,
Cerro Barcino Formation,['Argentina'],,
