"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"130279","occ","","","10761","Dendrorhynchoides curvidentatus","species","68166","Late Barremian","Early Aptian","125.77","119.5","4004","Chordata","Reptilia","Pterosauria","Anurognathidae","Dendrorhynchoides","120.872200","41.601398","CN","Liaoning","","based on nearby landmark","4","local area","Beipiao area, near Sihetun, western Liaoning"
"149986","occ","","","13283","Rhamphinion jenkinsi","species","68172","Sinemurian","Pliensbachian","199.5","184.2","4407","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Rhamphinion","-111.006943","35.695278","US","Arizona","","","seconds","small collection","southern side of Sand Mesa, along Adeii Eechii Cliffs, Ward's Terrace, in the Little Colorado River Valley."
"150243","occ","","","13335","Eurolimnornis corneti","species","134984","Berriasian","","145","139.8","4007","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Eurolimnornis","22.400000","46.950001","RO","Judetul Bihor","Oradea","based on nearby landmark","minutes","outcrop","in the Cornet bauxitic zone, 4 km south of the mining bldgs. of the Cornet branch of the S.C. ""Bauxita Min"" S.A. Dobresti company. Cornet lies in the Comuna Astileu, located in the Padurea Craiului Mtns. in the eastern part of Judetul (prov.) Bihor. The locality is 40 km ESE of Oradea (also listed as SSE)."
"150603","occ","","","13366","Arambourgiania philadelphiae","species","156656","Maastrichtian","","72.1","66","31056","Chordata","Reptilia","Pterosauria","Azhdarchidae","Arambourgiania","36.033333","32.016666","JO","","","based on political unit","seconds","local area","old underground phosphate mines of the Jordan Phosphate Mines Company LTD (JPMC), surrounding the town of Ruseifa, 5 km NE of Amman, alongside the Amman-Damascus railway."
"220153","occ","","","22710","Pterodaustro guinazui","species","156857","Albian","","113","100.5","5800","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodaustro","-66.993797","-32.501301","AR","","","","4","small collection",""
"256478","occ","","","24883","Angustinaripterus longicephalus","species","136467","Bajocian","Oxfordian","170.9","154.8","6976","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Angustinaripterus","104.852501","29.411388","CN","Sichuan","Zigong","estimated from map","seconds","outcrop","Dashanpu quarry, 10 km NE of Zigong, Sichuan, China"
"266832","occ","","","25658","Piksi barbarulna","species","80899","Middle Campanian","","83.6","72.1","7156","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Piksi","-112.966667","48.650002","US","Montana","Glacier","based on political unit","minutes","small collection","""extent of 25 m2""\r\nno geographic details are given, so coordinate is based on county"
"283819","occ","34653","","26995","Arcticodactylus cromptonellus","species","143938","Norian","","227","208.5","29536","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Arcticodactylus","-22.555555","71.371391","GL","East Greenland","","stated in text","seconds","outcrop","southern flank of Macknight Bjerg, Jameson Land; updated coordinates (71° 22.277' N, 22° 33.341' W) were provided by Jenkins et al. (2001)"
"292854","occ","","","27891","Jeholopterus ningchengensis","species","138757","Early Callovian","","165.3","161.5","30959","Chordata","Reptilia","Pterosauria","Anurognathidae","Jeholopterus","119.238609","41.316387","CN","Nei Mongol","","stated in text","seconds","outcrop","Daohugou, Ningcheng county, eastern Nei Mongol (west of Liaoning province), northeastern China. 41°18.979 N, longitude 119°14.318E"
"295294","occ","","","28233","Huanhepterus quingyangensis","species","52768","Valanginian","Albian","139.8","100.5","7754","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Huanhepterus","107.633331","35.733334","CN","Gansu","Qingyang","based on nearby landmark","minutes","small collection","Left bank of the Huanhe River. Coordinates are for Qingyang"
"297459","occ","","","28506","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","7866","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","11.466667","49.916668","DE","Bayern","","based on nearby landmark","seconds","small collection","old brickyard pit near the Mistelgau station, near Bayreuth, Frankish Jura, Bayern (Bavaria), Germany.\r\n\r\nWestphal (1962): Northeastern foothills of the Franconian: area of Bayreuth with the until recently still operating brickyard Mistelgau (near Bayreuth), were made in the recent (1952) new finds"
"372890","occ","","","35294","Uktenadactylus wadleighi","species","55641","Late Albian","","106.2","100.5","9520","Chordata","Reptilia","Pterosauria","Anhangueridae","Uktenadactylus","-97.320999","32.840801","US","Texas","Tarrant","estimated from map","4","small collection","SMU locality 263, Tarrant Co., Texas"
"465131","occ","12064","","45975","Mesadactylus ornithosphyos","species","63788","Late Kimmeridgian","Early Tithonian","152.2","146.3","12263","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Mesadactylus","-108.397202","38.583099","US","Colorado","Montrose","stated in text","4","outcrop","E 1/2, NW corner, Sec 23, T50N, R14W, Montrose Co., Colorado; also listed as ""Mesa County, 35 miles west of Delta, Colorado"" (ref 12262). Quarry on E rim of canyon of the E fork of Escalante Creek, on W slope of Dry Mesa, in the SE corner of Mesa Co."
"481977","occ","","","48161","Kepodactylus insperatus","species","67355","Tithonian","","149.2","145","14309","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Kepodactylus","-105.212502","38.541000","US","Colorado","Fremont","estimated from map","4","small collection","Garden Park, N of Cañon City, Fremont Co., CO."
"487794","occ","","","49047","Dsungaripterus weii","species","100403","Late Aptian","Albian","119.5","100.5","13383","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Dsungaripterus","85.792046","46.043884","CN","Xinjiang","","estimated from map","6","small collection","Wuerho area"
"487795","occ","","","49047","Noripterus complicidens","species","65713","Late Aptian","Albian","119.5","100.5","13383","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Noripterus","85.792046","46.043884","CN","Xinjiang","","estimated from map","6","small collection","Wuerho area"
"491150","occ","13793","","49577","Harpactognathus gentryii","species","65557","Late Kimmeridgian","Early Tithonian","152.2","146.3","13275","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Harpactognathus","-106.291000","41.967098","US","Wyoming","Albany","based on nearby landmark","4","outcrop",""
"493231","occ","","","49817","Noripterus complicidens","species","65713","Late Aptian","Albian","119.5","100.5","13383","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Noripterus","85.666664","46.099998","CN","Xinjiang","","based on nearby landmark","seconds","small collection","IVPP site 64043, near Wuerho (Urdo), Junggar Basin"
