"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon","taxon_size","extant_size","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","image_no"
"38461","38461","txn","B","order","Pterosauria","","38461","order","Pterosauria","184612","","4783","extant","794","Chordata","Reptilia","Pterosauria","","","","601","4","237","227","72.1","66","Carnian","Maastrichtian","marine","","actively mobile","volant","","piscivore","","","active flyers (Padian 1983) and mostly piscivorous (Wang and Zhou 2006)","1554"
"455552","455552","txn","","unranked clade","Eopterosauria","","455552","unranked clade","Eopterosauria","38461","","50989","extinct","4","Chordata","Reptilia","Pterosauria","","","","6","0","227","208.5","227","208.5","Norian","","marine","","actively mobile","volant","","piscivore","","","","1554"
"455551","455551","txn","","unranked clade","Raeticodactylidae","","455551","unranked clade","Raeticodactylidae","455552","","50989","extinct","4","Chordata","Reptilia","Pterosauria","Raeticodactylidae","","","5","0","227","208.5","227","208.5","Norian","","marine","","actively mobile","volant","","piscivore","","","","1554"
"NF1","","txn","","family","","","","","","","455551","","","4","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","","","","","","","","","","","","","","","","","","","","",""
"455529","455529","txn","","genus","Pachagnathus","","455529","genus","Pachagnathus","455551","NF1","81563","extinct","2","Chordata","Reptilia","Pterosauria","Raeticodactylidae","Pachagnathus","","2","0","227","208.5","227","208.5","Norian","","marine","","actively mobile","volant","","piscivore","","","","1554"
"455530","455530","txn","","species","Pachagnathus benitoi","","455530","species","Pachagnathus benitoi","455529","","81563","extinct","1","Chordata","Reptilia","Pterosauria","Raeticodactylidae","Pachagnathus","","1","0","227","208.5","227","208.5","Norian","","marine","","actively mobile","volant","","piscivore","","","","1554"
"455548","455548","txn","","genus","Yelaphomte","","455548","genus","Yelaphomte","455551","NF1","81563","extinct","2","Chordata","Reptilia","Pterosauria","Raeticodactylidae","Yelaphomte","","2","0","227","208.5","227","208.5","Norian","","marine","","actively mobile","volant","","piscivore","","","","1554"
"455549","455549","txn","","species","Yelaphomte praderioi","","455549","species","Yelaphomte praderioi","455548","","81563","extinct","1","Chordata","Reptilia","Pterosauria","Raeticodactylidae","Yelaphomte","","1","0","227","208.5","227","208.5","Norian","","marine","","actively mobile","volant","","piscivore","","","","1554"
"162688","162688","txn","","unranked clade","Macronychoptera","","162688","unranked clade","Macronychoptera","38461","","30121","extinct","200","Chordata","Reptilia","Pterosauria","","","","109","0","216.7","213.2","121.4","113","Norian","Aptian","marine","","actively mobile","volant","","piscivore","","","","1554"
"162687","162687","txn","","unranked clade","Novialoidea","","162687","unranked clade","Novialoidea","162688","","31911","extinct","188","Chordata","Reptilia","Pterosauria","","","","97","0","201.4","199.5","121.4","113","Hettangian","Aptian","marine","","actively mobile","volant","","piscivore","","","","1554"
"157947","157947","txn","","unranked clade","Breviquartossa","","157947","unranked clade","Breviquartossa","162687","","30121","extinct","144","Chordata","Reptilia","Pterosauria","","","","49","0","201.4","192.9","145","139.8","Hettangian","Berriasian","marine","","actively mobile","volant","","piscivore","","","","1114"
"38470","38470","txn","","family","Rhamphorhynchidae","","38470","family","Rhamphorhynchidae","157947","","4783","extinct","142","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","","","46","0","201.4","192.9","145","139.8","Hettangian","Berriasian","marine","","actively mobile","volant","","piscivore","","","","1114"
"92102","92102","txn","","subfamily","Rhamphorhynchinae","","92102","subfamily","Rhamphorhynchinae","38470","","19652","extinct","128","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","","","29","0","184.2","182.9","145","139.8","Toarcian","Berriasian","marine","","actively mobile","volant","","piscivore","","","","1114"
"454354","454354","txn","","tribe","Angustinaripterini","","454354","tribe","Angustinaripterini","92102","","6976","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","","","3","0","168.2","165.3","168.2","165.3","Bathonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"454353","454353","txn","","genus","Dearc","","454353","genus","Dearc","454354","","81241","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dearc","Dearc sgiathanach","2","0","168.2","165.3","168.2","165.3","Bathonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"454355","454355","txn","","species","Dearc sgiathanach","","454355","species","Dearc sgiathanach","454353","","81241","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dearc","","1","0","168.2","165.3","168.2","165.3","Bathonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"136466","136466","txn","","genus","Angustinaripterus","","136466","genus","Angustinaripterus","92102","","6976","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Angustinaripterus","","2","0","170.9","154.8","170.9","154.8","Bajocian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1114"
"136467","136467","txn","","species","Angustinaripterus longicephalus","","136467","species","Angustinaripterus longicephalus","136466","","6976","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Angustinaripterus","","1","0","170.9","154.8","170.9","154.8","Bajocian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1114"
"152526","152526","txn","","genus","Cacibupteryx","","152526","genus","Cacibupteryx","92102","","30567","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Cacibupteryx","","2","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"152527","152527","txn","","species","Cacibupteryx caribensis","","152527","species","Cacibupteryx caribensis","152526","","30567","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Cacibupteryx","","1","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"38472","38472","txn","","genus","Dorygnathus","","38472","genus","Dorygnathus","92102","","4783","extinct","70","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","","2","0","184.2","182.9","184.2","182","Toarcian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"92103","92103","txn","","species","Dorygnathus banthensis","","92103","species","Dorygnathus banthensis","38472","","16227","extinct","35","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","","1","0","184.2","182.9","184.2","182","Toarcian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"38474","38474","txn","","genus","Nesodactylus","","38474","genus","Nesodactylus","92102","","30566","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Nesodactylus","","2","0","157.9","154.8","157.9","154.8","","","marine","","actively mobile","volant","","piscivore","","","","1114"
"139629","139629","txn","","species","Nesodactylus hesperius","","139629","species","Nesodactylus hesperius","38474","","30566","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Nesodactylus","","1","0","157.9","154.8","157.9","154.8","","","marine","","actively mobile","volant","","piscivore","","","","1114"
"312910","312910","txn","","genus","Orientognathus","","312910","genus","Orientognathus","92102","","54088","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Orientognathus","Orientognathus chaoyangensis","2","0","145","139.8","145","139.8","Berriasian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"312911","312911","txn","","species","Orientognathus chaoyangensis","","312911","species","Orientognathus chaoyangensis","312910","","54088","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Orientognathus","","1","0","145","139.8","145","139.8","Berriasian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"138749","138749","txn","","genus","Pterorhynchus","","138749","genus","Pterorhynchus","92102","","30960","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Pterorhynchus","","2","0","165.3","161.5","165.3","161.5","Callovian","","marine","","actively mobile","volant","","piscivore","","","","1511"
"138756","138756","txn","","species","Pterorhynchus wellnhoferi","","138756","species","Pterorhynchus wellnhoferi","138749","","30960","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Pterorhynchus","","1","0","165.3","161.5","165.3","161.5","Callovian","","marine","","actively mobile","volant","","piscivore","","","","1511"
"216789","216789","txn","","genus","Qinglongopterus","","216789","genus","Qinglongopterus","92102","","39769","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Qinglongopterus","","2","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","1114"
"216790","216790","txn","","species","Qinglongopterus guoi","","216790","species","Qinglongopterus guoi","216789","","39769","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Qinglongopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","1114"
"156250","156250","txn","","genus","Rhamphocephalus","","156250","genus","Rhamphocephalus","92102","","30955","extinct","12","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","","3","0","168.2","165.3","161.5","154.8","Bathonian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1114"
"95827","156329","txn","","species","Rhamphocephalus bucklandi","","95827","species","Rhamphocephalus bucklandi","156250","","30159","extinct","5","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","","1","0","168.2","165.3","161.5","154.8","Bathonian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1114"
