Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,First Appearance (MYA),Last Appearance (MYA),Early Interval,Late Interval,Era
Ajkaceratops kozmai,Ajkaceratops,Ceratopsoidea,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Turanoceratops tardabilis,Turanoceratops,Ceratopsoidea,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,6,93.9,89.8,Turonian,Turonian,Cretaceous
Zuniceratops christopheri,Zuniceratops,Ceratopsoidea,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,3,93.9,89.8,Turonian,Turonian,Cretaceous
Bagaceratops rozhdestvenskyi,Bagaceratops,Protoceratopsidae,Protoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,4,83.6,72.1,Campanian,Campanian,Cretaceous
Breviceratops kozlowskii,Breviceratops,Protoceratopsidae,Protoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Protoceratops andrewsi,Protoceratops,Protoceratopsidae,Protoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,17,86.3,72.1,Santonian,Campanian,Cretaceous
Protoceratops hellenikorhinus,Protoceratops,Protoceratopsidae,Protoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,6,83.6,72.1,Campanian,Campanian,Cretaceous
Hualianceratops wucaiwanensis,Hualianceratops,Chaoyangsauridae,Chaoyangsauridae,NO_ORDER_SPECIFIED,Ornithischia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Stenopelix valdensis,Stenopelix,Chaoyangsauridae,Chaoyangsauridae,NO_ORDER_SPECIFIED,Ornithischia,1,140.6,139.8,Berriasian,Berriasian,Cretaceous
Xuanhuaceratops niei,Xuanhuaceratops,Chaoyangsauridae,Chaoyangsauridae,NO_ORDER_SPECIFIED,Ornithischia,1,152.2,132.6,Kimmeridgian,Valanginian,
Yinlong downsi,Yinlong,Chaoyangsauridae,Chaoyangsauridae,NO_ORDER_SPECIFIED,Ornithischia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Cerasinops hodgskissi,Cerasinops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Ferrisaurus sustutensis,Ferrisaurus,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Gremlin slobodorum,Gremlin,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Gryphoceratops morrisoni,Gryphoceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Helioceratops brachygnathus,Helioceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,100.5,Aptian,Albian,Cretaceous
Ischioceratops zhuchengensis,Ischioceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Koreaceratops hwaseongensis,Koreaceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,113.0,100.5,Albian,Albian,Cretaceous
Leptoceratops gracilis,Leptoceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,5,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Montanoceratops cerorhynchus,Montanoceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Prenoceratops pieganensis,Prenoceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Udanoceratops tschizhovi,Udanoceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Unescoceratops koppelhusae,Unescoceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Zhuchengceratops inexpectus,Zhuchengceratops,Leptoceratopsidae,Leptoceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Aquilops americanus,Aquilops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,109.9,100.5,Albian,Albian,Cretaceous
