Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Pachagnathus benitoi,Pachagnathus,Raeticodactylidae,Raeticodactylidae,Pterosauria,Reptilia,1,227.0,208.5,Norian,Norian,Triassic
Yelaphomte praderioi,Yelaphomte,Raeticodactylidae,Raeticodactylidae,Pterosauria,Reptilia,1,227.0,208.5,Norian,Norian,Triassic
Dearc sgiathanach,Dearc,Angustinaripterini,Rhamphorhynchidae,Pterosauria,Reptilia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Angustinaripterus longicephalus,Angustinaripterus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Cacibupteryx caribensis,Cacibupteryx,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Dorygnathus banthensis,Dorygnathus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,34,184.2,182.0,Toarcian,Toarcian,Jurassic
Nesodactylus hesperius,Nesodactylus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,157.9,154.8,,,Jurassic
Orientognathus chaoyangensis,Orientognathus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,145.0,139.8,Berriasian,Berriasian,
Pterorhynchus wellnhoferi,Pterorhynchus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,165.3,161.5,Callovian,Callovian,Jurassic
Qinglongopterus guoi,Qinglongopterus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Rhamphocephalus bucklandi,Rhamphocephalus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,2,168.2,154.8,Bathonian,Oxfordian,Jurassic
Rhamphocephalus depressirostris,Rhamphocephalus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Rhamphorhynchus etchesi,Rhamphorhynchus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,149.2,145.0,Tithonian,Tithonian,Jurassic
Rhamphorhynchus muensteri,Rhamphorhynchus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,5,152.2,146.3,Kimmeridgian,Tithonian,Jurassic
Sericipterus wucaiwanensis,Sericipterus,Rhamphorhynchinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Jianchangopterus zhaoianus,Jianchangopterus,Scaphognathinae,Rhamphorhynchidae,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
